;rep;fold;MAE;RMSE;RSQ_pct
7;1;2;3051.87;5713.26;74.33
21;4;1;3377.95;5722.28;74.42
28;5;3;3024.11;5147.55;75.49
1;0;1;2934.99;5329.23;75.89
16;3;1;3094.16;4681.83;76.71
43;8;3;2937.85;5168.85;76.81
25;5;0;3423.42;5075.67;76.88
29;5;4;3197.3;5229.74;76.89
33;6;3;3365.66;4984.51;76.96
42;8;2;3581.2;5045.5;77.65
38;7;3;3264.14;5405.6;77.7
48;9;3;3075.19;5356.96;77.96
17;3;2;3161.08;4932.93;78.36
6;1;1;3021.74;4945.16;78.48
12;2;2;2992.65;5032.36;78.5
4;0;4;2785.3;5116.86;78.59
30;6;0;2959.8;5488.19;78.6
19;3;4;3485.93;5425.76;78.63
23;4;3;3087.47;4873.19;78.81
32;6;2;3508.49;5199.46;79.07
15;3;0;3378.82;4771.07;79.26
10;2;0;2746.21;5264.39;80.64
13;2;3;2938.53;4741.7;80.67
47;9;2;2836.89;5311.22;81.29
8;1;3;3224.07;4502.84;81.71
27;5;2;2528.0;4717.35;81.8
22;4;2;2703.43;4776.7;82.08
0;0;0;2758.42;5319.67;82.47
14;2;4;2636.27;4601.28;82.69
36;7;1;3040.65;4825.01;82.73
41;8;1;2752.49;5077.19;82.75
11;2;1;2716.87;4842.51;82.97
45;9;0;2873.89;4725.95;83.17
35;7;0;2691.1;4420.03;83.52
39;7;4;3299.64;5212.52;83.58
40;8;0;3289.66;5032.94;83.73
5;1;0;2941.71;4609.89;83.75
31;6;1;2501.38;4522.83;84.33
3;0;3;2604.53;4417.68;84.51
20;4;0;2696.05;4393.2;84.95
2;0;2;2415.64;4364.85;84.96
44;8;4;3103.12;4587.86;84.99
9;1;4;3000.43;4568.59;85.06
37;7;2;2884.88;4368.06;85.06
49;9;4;2807.2;4360.78;85.37
34;6;4;2891.37;5107.63;85.48
46;9;1;3021.8;4795.48;85.72
18;3;3;2816.09;4532.69;87.65
24;4;4;2463.1;4621.07;87.82
26;5;1;2839.37;4076.45;88.78
