;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
0;6057.6694;84515840.0;84924970.0;48100;378;15126.074;404102500.0;409426340.0;108;4
1;5764.9556;76623816.0;76990470.0;48100;378;15123.526;404016540.0;409339700.0;108;4
2;5619.459;72573896.0;72917400.0;48100;378;15111.375;403590800.0;408910240.0;108;4
3;5475.9756;68797496.0;69119270.0;48100;378;15080.027;402473120.0;407782600.0;108;4
4;5344.5596;65455696.0;65758412.0;48100;378;15020.669;400317950.0;405607040.0;108;4
5;5211.5137;62213344.0;62497644.0;48100;378;14925.191;396792100.0;402045600.0;108;4
6;5079.7534;59118932.0;59385716.0;48100;378;14786.43;391590900.0;396788770.0;108;4
7;4948.0874;56124824.0;56374610.0;48100;378;14597.825;384440400.0;389557500.0;108;4
8;4819.05;53242484.0;53475908.0;48100;378;14352.783;375090080.0;380096450.0;108;4
9;4695.0137;50533180.0;50751490.0;48100;378;14044.909;363318720.0;368179400.0;108;4
10;4576.6606;47998660.0;48202710.0;48100;378;13667.653;348961060.0;353637200.0;108;4
11;4464.397;45637040.0;45828080.0;48100;378;13213.085;331879360.0;336328900.0;108;4
12;4350.8413;43360090.0;43538880.0;48100;378;12672.18;312007650.0;316188670.0;108;4
13;4238.231;41143040.0;41310628.0;48100;378;12039.613;289492130.0;293363460.0;108;4
14;4125.177;39010030.0;39166544.0;48100;378;11314.941;264693150.0;268217470.0;108;4
15;4021.5562;37071664.0;37218150.0;48100;378;10498.169;238201380.0;241348900.0;108;4
16;3918.6313;35217740.0;35355684.0;48100;378;9612.074;210755800.0;213507170.0;108;4
17;3818.0012;33482162.0;33613410.0;48100;378;8692.566;183453250.0;185802350.0;108;4
18;3715.6006;31846682.0;31972368.0;48100;378;7758.0874;157301970.0;159256500.0;108;4
19;3608.027;30259828.0;30380662.0;48100;378;6862.569;133030880.0;134612140.0;108;4
20;3477.72;28582680.0;28696206.0;48100;378;6095.172;111159760.0;112399250.0;108;4
21;3350.8374;27102658.0;27208286.0;48100;378;5410.6177;91993150.0;92933420.0;108;4
22;3242.9365;25933978.0;26030574.0;48100;378;4915.8696;75987730.0;76679496.0;108;4
23;3172.9458;25164298.0;25258402.0;48100;378;4732.508;63399270.0;63895468.0;108;4
24;3148.2854;24928228.0;25018528.0;48100;378;4810.643;54405080.0;54761490.0;108;4
25;2944.196;22886260.0;22959890.0;48100;378;5030.1387;48816536.0;49086884.0;108;4
26;2960.4387;23110206.0;23188572.0;48100;378;5311.326;46233012.0;46466050.0;108;4
27;2958.115;23096608.0;23174586.0;48100;378;5602.3623;46285360.0;46524656.0;108;4
28;2969.8823;23242248.0;23323682.0;48100;378;5962.9336;48220732.0;48497816.0;108;4
29;2974.6978;23333536.0;23415680.0;48100;378;6247.832;50884160.0;51212508.0;108;4
30;2965.3022;23295410.0;23378558.0;48100;378;6437.461;53134600.0;53510624.0;108;4
31;2946.7166;23136120.0;23219290.0;48100;378;6513.9785;54411012.0;54827364.0;108;4
32;2923.2764;22934492.0;23015470.0;48100;378;6504.1934;54588750.0;55032340.0;108;4
33;2894.3796;22679844.0;22759470.0;48100;378;6425.418;53754924.0;54217196.0;108;4
34;2863.1682;22398244.0;22476924.0;48100;378;6276.9937;52083276.0;52554756.0;108;4
35;2828.3928;22092848.0;22170390.0;48100;378;6071.12;49744736.0;50214612.0;108;4
36;2797.5012;21798926.0;21874220.0;48100;378;5822.799;47051050.0;47503964.0;108;4
37;2768.6636;21503792.0;21577554.0;48100;378;5547.6143;44236720.0;44658564.0;108;4
38;2745.2517;21271684.0;21344672.0;48100;378;5270.3584;41574216.0;41952240.0;108;4
39;2726.8677;21056510.0;21128468.0;48100;378;5013.4595;39254776.0;39581124.0;108;4
40;2711.0151;20873980.0;20944892.0;48100;378;4776.5;37218090.0;37491550.0;108;4
41;2699.4712;20728138.0;20798330.0;48100;378;4573.4536;35510410.0;35734840.0;108;4
42;2689.7905;20603096.0;20673114.0;48100;378;4398.4053;34077972.0;34263824.0;108;4
43;2682.0652;20486846.0;20556668.0;48100;378;4247.091;32949176.0;33101212.0;108;4
44;2677.1184;20400496.0;20469904.0;48100;378;4107.875;32010824.0;32130774.0;108;4
45;2679.6038;20380268.0;20448436.0;48100;378;3979.166;31233728.0;31325974.0;108;4
46;2670.7053;20277530.0;20343802.0;48100;378;3853.9634;30552742.0;30623000.0;108;4
47;2666.755;20232424.0;20298936.0;48100;378;3727.2324;29959194.0;30012302.0;108;4
48;2658.2031;20147240.0;20212922.0;48100;378;3608.3865;29557120.0;29597022.0;108;4
49;2686.9834;20470048.0;20537704.0;48100;378;3482.3481;29219612.0;29246122.0;108;4
