;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches;test_loss;test_mae;test_mean_squared_error;test_r2_score
0;2729.3003;21447750.0;21529632.0;48100;378;3740.3228;31990746.0;31681026.0;108;4;28165892.0;3544.6083984375;28165892.0;0.7544939517974854
1;2491.674;19826210.0;19887318.0;48100;378;3849.7883;27786324.0;27639134.0;108;4;27776880.0;3616.2236328125;27776880.0;0.765701413154602
2;2935.2056;23817430.0;23870848.0;48100;378;2947.7246;17719402.0;17552340.0;108;4;28597438.0;3376.07080078125;28597438.0;0.7505852580070496
3;2701.6995;20669408.0;20471364.0;48100;378;3872.2922;25356944.0;25474230.0;108;4;28341924.0;3825.543212890625;28341924.0;0.759239912033081
4;2993.5647;24174640.0;24201882.0;48200;379;3409.0796;25765876.0;25716642.0;108;4;27256056.0;3253.21923828125;27256056.0;0.7697067260742188
5;2715.7708;21386280.0;21446186.0;48100;378;3629.808;30483526.0;30655950.0;108;4;27638448.0;3370.112548828125;27638448.0;0.763117790222168
6;2672.4578;20903736.0;20943156.0;48100;378;3834.2744;29612582.0;30123374.0;108;4;27605660.0;3534.14501953125;27605660.0;0.7657912969589233
7;2713.4368;21222786.0;21262844.0;48100;378;4596.1973;42885660.0;43134576.0;108;4;27317932.0;3578.6123046875;27317932.0;0.7681899070739746
8;2699.1873;21840910.0;21650166.0;48100;378;3365.8267;18541746.0;19165630.0;108;4;27514366.0;3485.513671875;27514366.0;0.7639400959014893
9;2735.2563;21036488.0;21062208.0;48200;379;3204.5308;22161814.0;21843912.0;108;4;27360910.0;3334.728759765625;27360910.0;0.7665174007415771
10;2898.9785;23490828.0;23534244.0;48100;378;3666.9102;26423778.0;27225992.0;108;4;27591622.0;3534.752685546875;27591622.0;0.764424741268158
11;2686.9834;20470048.0;20537704.0;48100;378;3482.3481;29219612.0;29246122.0;108;4;27473188.0;3156.5576171875;27473188.0;0.7606961727142334
12;2636.5945;20904090.0;20937678.0;48100;378;3755.164;29849396.0;30038864.0;108;4;27485368.0;3563.497802734375;27485368.0;0.7674434185028076
13;2833.9907;23089168.0;22894994.0;48100;378;3867.4453;23179100.0;23963032.0;108;4;27665120.0;3779.29931640625;27665120.0;0.7664994597434998
14;2704.6614;21145722.0;21152334.0;48200;379;3662.7107;27263404.0;27581516.0;108;4;27333502.0;3484.55712890625;27333502.0;0.7687051892280579
15;2499.1304;19516904.0;19580710.0;48100;378;4130.667;38508056.0;38494484.0;108;4;27705806.0;3245.30419921875;27705806.0;0.7603587508201599
16;2746.6516;22144666.0;21947262.0;48100;378;4227.2207;27384008.0;27323882.0;108;4;28550932.0;3922.30224609375;28550932.0;0.7598897218704224
17;2687.388;21318478.0;21366390.0;48100;378;4000.978;32451926.0;32759800.0;108;4;27205492.0;3462.980712890625;27205492.0;0.768215000629425
18;2849.5217;22495964.0;22525630.0;48100;378;3540.1372;24791480.0;24934596.0;108;4;27753790.0;3402.2724609375;27753790.0;0.7605989575386047
19;2664.346;20520754.0;20555256.0;48200;379;4046.658;31261830.0;31483010.0;108;4;27839398.0;3582.166259765625;27839398.0;0.7635818123817444
20;2511.676;19618974.0;19552274.0;48100;378;4004.4531;31410600.0;31610128.0;108;4;27210648.0;3595.27197265625;27210648.0;0.7690622806549072
21;2856.675;22508152.0;22599436.0;48100;378;3406.6792;22823932.0;23396442.0;108;4;27711400.0;3509.204833984375;27711400.0;0.7632429599761963
22;3000.851;24325076.0;24147992.0;48100;378;4010.1777;27267078.0;27462378.0;108;4;27901280.0;3876.97265625;27901280.0;0.764904260635376
23;2803.0278;22617950.0;22429054.0;48100;378;3260.2937;19327304.0;19171912.0;108;4;27705392.0;3543.75634765625;27705392.0;0.766139030456543
24;2632.8196;20454878.0;20479958.0;48200;379;3686.8552;27710464.0;27633340.0;108;4;27600784.0;3267.2900390625;27600784.0;0.7642605900764465
