;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
0;6261.0464;90769090.0;91328150.0;48150;379;12446.965;260788670.0;266011310.0;108;4
1;5973.103;82653784.0;83154850.0;48150;379;12444.669;260725220.0;265947330.0;108;4
2;5810.034;78245760.0;78715270.0;48150;379;12436.055;260476270.0;265695940.0;108;4
3;5653.5493;74237864.0;74678900.0;48150;379;12416.281;259883620.0;265097220.0;108;4
4;5503.238;70501410.0;70915770.0;48150;379;12379.215;258742180.0;263943800.0;108;4
5;5360.842;67030948.0;67418936.0;48150;379;12318.059;256822540.0;262003500.0;108;4
6;5225.7305;63767868.0;64131484.0;48150;379;12225.414;253879950.0;259028290.0;108;4
7;5091.673;60599252.0;60938544.0;48150;379;12093.359;249659400.0;254759600.0;108;4
8;4960.4893;57478040.0;57793784.0;48150;379;11912.499;243885150.0;248916690.0;108;4
9;4835.5635;54570456.0;54865164.0;48150;379;11671.971;236263500.0;241201140.0;108;4
10;4711.6567;51746388.0;52020236.0;48150;379;11360.527;226540740.0;231352800.0;108;4
11;4590.6733;49042004.0;49296330.0;48150;379;10969.994;214634350.0;219285490.0;108;4
12;4472.094;46505196.0;46740308.0;48150;379;10495.918;200639330.0;205091410.0;108;4
13;4351.772;44040740.0;44258740.0;48150;379;9939.73;184831250.0;189047060.0;108;4
14;4234.393;41712170.0;41914130.0;48150;379;9311.506;167738190.0;171682900.0;108;4
15;4121.385;39557756.0;39746144.0;48150;379;8622.809;150015360.0;153658460.0;108;4
16;4006.3123;37473268.0;37649216.0;48150;379;7897.7603;132336664.0;135655280.0;108;4
17;3883.6252;35467464.0;35634770.0;48150;379;7166.992;115412480.0;118391670.0;108;4
18;3761.8875;33636304.0;33794376.0;48150;379;6471.309;99699120.0;102333220.0;108;4
19;3644.6445;31967488.0;32116664.0;48150;379;5817.0327;85517050.0;87809930.0;108;4
20;3522.2996;30395362.0;30538976.0;48150;379;5181.335;72934280.0;74895496.0;108;4
21;3401.3086;28884230.0;29019898.0;48150;379;4628.32;62156024.0;63803156.0;108;4
22;3301.8748;27708700.0;27840474.0;48150;379;4193.2383;53233520.0;54591292.0;108;4
23;3200.9246;26572664.0;26701754.0;48150;379;3859.49;46054364.0;47154744.0;108;4
24;3097.7268;25460606.0;25585568.0;48150;379;3812.5596;40523840.0;41404176.0;108;4
25;3032.0;24775366.0;24897294.0;48150;379;3839.2852;36597548.0;37296636.0;108;4
26;3006.3044;24504720.0;24622310.0;48150;379;3945.3535;34465452.0;35025340.0;108;4
27;2937.6543;23767904.0;23880000.0;48150;379;4138.542;34068880.0;34535804.0;108;4
28;2886.9927;23298076.0;23410858.0;48150;379;4468.798;35321956.0;35739900.0;108;4
29;2893.6042;23375084.0;23487666.0;48150;379;4852.4414;37993930.0;38404260.0;108;4
30;2891.8015;23414570.0;23527464.0;48150;379;5256.6978;41445620.0;41877496.0;108;4
31;2899.9163;23573350.0;23686314.0;48150;379;5590.9497;44970948.0;45448964.0;108;4
32;2890.1702;23569746.0;23682826.0;48150;379;5807.957;47689136.0;48220908.0;108;4
33;2874.9114;23512242.0;23624742.0;48150;379;5917.2275;49282816.0;49873920.0;108;4
34;2860.8184;23430158.0;23541838.0;48150;379;5930.3228;49657696.0;50302212.0;108;4
35;2837.699;23249582.0;23360060.0;48150;379;5859.4375;48946384.0;49630456.0;108;4
36;2816.0786;23071412.0;23181048.0;48150;379;5725.87;47420860.0;48130656.0;108;4
37;2794.0745;22846680.0;22955406.0;48150;379;5553.116;45389540.0;46111850.0;108;4
38;2774.372;22638030.0;22745710.0;48150;379;5377.7983;43289856.0;44017020.0;108;4
39;2758.1182;22442940.0;22549784.0;48150;379;5216.874;41335308.0;42060016.0;108;4
40;2751.5132;22361016.0;22466662.0;48150;379;5081.6553;39729100.0;40448252.0;108;4
41;2739.9426;22211534.0;22316738.0;48150;379;4969.427;38372790.0;39088920.0;108;4
42;2734.1917;22115904.0;22220366.0;48150;379;4872.9414;37207284.0;37921980.0;108;4
43;2732.361;22063548.0;22168302.0;48150;379;4790.9307;36209532.0;36923610.0;108;4
44;2729.855;22004892.0;22109396.0;48150;379;4710.468;35292864.0;36009776.0;108;4
45;2729.9631;21981552.0;22085410.0;48150;379;4622.067;34382720.0;35102500.0;108;4
46;2727.98;21916556.0;22020160.0;48150;379;4518.4746;33449664.0;34172370.0;108;4
47;2727.7961;21903532.0;22006976.0;48150;379;4399.73;32547320.0;33279270.0;108;4
48;2719.754;21786548.0;21890478.0;48150;379;4274.86;31683846.0;32429288.0;108;4
49;2716.564;21742800.0;21845840.0;48150;379;4128.6724;30858140.0;31615810.0;108;4
