;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
0;2763.8044;22024238.0;21955138.0;48100;378;3823.562;26161932.0;26214928.0;108;4
1;2684.7947;20280612.0;20362058.0;48100;378;3208.2603;32567062.0;33598416.0;108;4
2;2826.2017;22556878.0;22321668.0;48100;378;4566.2754;37564400.0;38427170.0;108;4
3;2733.067;21680022.0;21705348.0;48150;378;4337.161;44277916.0;45655524.0;108;4
4;2542.3208;19805508.0;19861834.0;48150;379;4035.6987;36854920.0;36490624.0;108;4
5;2709.545;21601782.0;21613936.0;48100;378;3908.8157;26673398.0;26950596.0;108;4
6;2788.4014;22426088.0;22471120.0;48100;378;3767.3867;24924480.0;25131972.0;108;4
7;2487.0598;18415500.0;18488122.0;48100;378;3545.1453;28657808.0;29233702.0;108;4
8;2768.3337;22457248.0;22463340.0;48150;378;4173.7485;32813152.0;32125426.0;108;4
9;2805.5225;22491756.0;22592618.0;48150;379;3147.5376;21740700.0;21281692.0;108;4
10;2674.0618;21372158.0;21414936.0;48100;378;3676.1792;25670774.0;25978748.0;108;4
11;2859.7043;23120430.0;23184778.0;48100;378;3723.3647;18476548.0;18734128.0;108;4
12;2694.8962;21434374.0;21503710.0;48100;378;3596.7612;23975902.0;24301464.0;108;4
13;2723.1736;20595340.0;20621590.0;48150;378;4527.488;42948224.0;43574724.0;108;4
14;2725.348;22226496.0;22267450.0;48150;379;3670.4277;23691072.0;24029966.0;108;4
15;2602.5486;20381868.0;20294790.0;48100;378;4163.751;46247084.0;47951104.0;108;4
16;2693.738;21577448.0;21648400.0;48100;378;3591.348;27422336.0;27250422.0;108;4
17;2793.87;22050058.0;22137000.0;48100;378;3446.2537;26206830.0;26366338.0;108;4
18;2853.3235;22956530.0;22943548.0;48150;378;3640.6606;29265458.0;30013522.0;108;4
19;2590.3335;19513998.0;19556922.0;48150;379;3565.3276;30222566.0;31974182.0;108;4
20;2757.5122;21916268.0;21951570.0;48100;378;3693.6174;29170324.0;29691682.0;108;4
21;2554.7534;19409520.0;19477454.0;48100;378;3579.5195;28848534.0;30118108.0;108;4
22;2873.921;23431504.0;23514486.0;48100;378;3238.102;20178102.0;20889808.0;108;4
23;2676.8188;20466472.0;20487854.0;48150;378;3906.059;34152290.0;34391510.0;108;4
24;2847.9966;22964640.0;23014956.0;48150;379;3256.8682;21039774.0;20915134.0;108;4
