;loss;mae;mean_squared_error;r2_score;val_loss;val_mae;val_mean_squared_error;val_r2_score;test_loss;test_mae;test_mean_squared_error;test_r2_score
0;19718252.0;2610.110107421875;19718252.0;85.60295104980469;27341774.0;2642.733642578125;27341774.0;82.4393630027771;25864344.0;2553.1484375;25864344.0;0.8407371044158936
1;21492774.0;2570.6787109375;21492774.0;85.09547114372253;22228300.0;3072.852294921875;22228300.0;83.63226652145386;28597632.0;3213.607666015625;28597632.0;0.7606959342956543
2;20308874.0;2631.6962890625;20308874.0;85.9732985496521;24692582.0;2858.69921875;24692582.0;84.85548496246338;18818680.0;2517.280517578125;18818680.0;0.8499190807342529
3;21591040.0;2767.2587890625;21591040.0;84.2153549194336;29211930.0;3103.599365234375;29211930.0;82.05851316452026;20279284.0;2674.952392578125;20279284.0;0.8386993408203125
4;21687456.0;2727.89892578125;21687456.0;84.40006971359253;23737440.0;2751.146484375;23737440.0;84.942626953125;26170376.0;2764.789794921875;26170376.0;0.7859254479408264
5;21732934.0;2855.039794921875;21732934.0;84.66362357139587;29220204.0;3490.74267578125;29220204.0;81.78459405899048;21206092.0;2922.2060546875;21206092.0;0.8375722765922546
6;21812670.0;2861.898681640625;21812670.0;84.04450416564941;26434756.0;3085.265869140625;26434756.0;84.22447443008423;24394444.0;3034.068115234375;24394444.0;0.7847530841827393
7;18111344.0;2371.9541015625;18111344.0;87.19688653945923;17246966.0;2432.8828125;17246966.0;87.77830600738525;32803622.0;3033.269775390625;32803622.0;0.7420610785484314
8;22271364.0;2778.593505859375;22271364.0;84.33383107185364;29522216.0;3755.331298828125;29522216.0;80.6686282157898;20472878.0;3244.56982421875;20472878.0;0.8144786953926086
9;23582050.0;2688.265869140625;23582050.0;83.69995355606079;24391006.0;3136.7373046875;24391006.0;83.57034921646118;20882410.0;3019.54296875;20882410.0;0.8505252599716187
10;21795792.0;2873.662353515625;21795792.0;84.22456979751587;25421898.0;2732.604248046875;25421898.0;82.00693130493164;27065756.0;2761.23486328125;27065756.0;0.8099640607833862
11;22025206.0;2982.440185546875;22025206.0;85.01147627830505;25538242.0;2890.96435546875;25538242.0;83.58792066574097;23579754.0;2726.85107421875;23579754.0;0.8285389542579651
12;21380922.0;2816.04345703125;21380922.0;84.28506851196289;27378578.0;3059.119140625;27378578.0;83.66366624832153;25301034.0;2986.28369140625;25301034.0;0.7852546572685242
13;23298230.0;2601.4130859375;23298230.0;84.69259142875671;23264314.0;3191.308837890625;23264314.0;85.58071851730347;22495760.0;2933.418212890625;22495760.0;0.8065820336341858
14;20390482.0;2609.749755859375;20390482.0;85.91553568840027;26000526.0;2809.377685546875;26000526.0;82.1736752986908;21188630.0;2630.831298828125;21188630.0;0.8268399834632874
