;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
0;6681.0044;101386160.0;101963620.0;48150;379;12671.373;308408960.0;311269380.0;108;4
1;6446.4062;94506270.0;95030890.0;48150;379;12669.301;308346000.0;311206100.0;108;4
2;6303.1035;90164264.0;90655880.0;48150;379;12663.101;308161920.0;311021020.0;108;4
3;6168.846;86267740.0;86730550.0;48150;379;12649.178;307744960.0;310601760.0;108;4
4;6051.477;82896696.0;83334050.0;48150;379;12623.637;306967500.0;309820060.0;108;4
5;5912.8716;79118870.0;79529200.0;48150;379;12583.076;305709440.0;308554720.0;108;4
6;5783.3364;75690920.0;76077160.0;48150;379;12524.33;303852670.0;306686370.0;108;4
7;5658.5645;72450216.0;72813496.0;48150;379;12444.46;301283780.0;304100450.0;108;4
8;5535.3193;69347950.0;69689200.0;48150;379;12340.932;297898370.0;300691800.0;108;4
9;5411.7817;66355910.0;66675796.0;48150;379;12211.925;293621060.0;296384160.0;108;4
10;5287.9946;63446370.0;63745844.0;48150;379;12056.52;288404740.0;291130270.0;108;4
11;5165.517;60620070.0;60899856.0;48150;379;11874.696;282236000.0;284916930.0;108;4
12;5046.2417;57907920.0;58169104.0;48150;379;11667.656;275149920.0;277780480.0;108;4
13;4931.5312;55335696.0;55579624.0;48150;379;11437.045;267206370.0;269782100.0;108;4
14;4820.5786;52889280.0;53117484.0;48150;379;11184.16;258461800.0;260979330.0;108;4
15;4713.5527;50558588.0;50771336.0;48150;379;10909.62;248964450.0;251421700.0;108;4
16;4608.593;48327484.0;48525736.0;48150;379;10612.811;238747200.0;241142860.0;108;4
17;4505.1973;46192316.0;46378044.0;48150;379;10292.02;227838850.0;230171760.0;108;4
18;4408.6084;44208664.0;44381944.0;48150;379;9944.575;216261740.0;218530100.0;108;4
19;4314.47;42337260.0;42500044.0;48150;379;9566.182;204008510.0;206207470.0;108;4
20;4220.142;40508290.0;40661424.0;48150;379;9152.709;191130270.0;193255230.0;108;4
21;4129.919;38811890.0;38956584.0;48150;379;8704.211;177740300.0;179786100.0;108;4
22;4039.61;37141668.0;37278236.0;48150;379;8224.103;163996320.0;165957600.0;108;4
23;3950.4565;35556240.0;35685000.0;48150;379;7728.3574;150191820.0;152066750.0;108;4
24;3859.6907;34033710.0;34154784.0;48150;379;7215.366;136558480.0;138345390.0;108;4
25;3773.8179;32645060.0;32759428.0;48150;379;6688.575;123388760.0;125087880.0;108;4
26;3679.7764;31272720.0;31381666.0;48150;379;6182.617;110941650.0;112557220.0;108;4
27;3584.5706;29965684.0;30069896.0;48150;379;5717.141;99423256.0;100960780.0;108;4
28;3490.3208;28755296.0;28854832.0;48150;379;5304.576;88908880.0;90375640.0;108;4
29;3393.2253;27609748.0;27703384.0;48150;379;4940.7744;79374340.0;80774540.0;108;4
30;3299.6194;26534002.0;26620520.0;48150;379;4609.565;70807800.0;72145900.0;108;4
31;3214.4814;25591286.0;25672004.0;48150;379;4307.4673;63183240.0;64464476.0;108;4
32;3129.9504;24726266.0;24800922.0;48150;379;4043.7134;56480180.0;57707588.0;108;4
33;3055.8916;23973798.0;24044186.0;48150;379;3877.5562;50669670.0;51849570.0;108;4
34;2980.709;23240086.0;23305212.0;48150;379;3783.5312;45726644.0;46863336.0;108;4
35;2929.7925;22722192.0;22782756.0;48150;379;3729.375;41603428.0;42697132.0;108;4
36;2895.4946;22371926.0;22430522.0;48150;379;3772.1985;38305790.0;39360044.0;108;4
37;2861.834;22049900.0;22105540.0;48150;379;3875.5686;35829180.0;36847990.0;108;4
38;2811.3564;21593658.0;21646280.0;48150;379;3984.9429;34054950.0;35043170.0;108;4
39;2773.1812;21189704.0;21238400.0;48150;379;4104.7534;32891362.0;33853136.0;108;4
40;2734.6768;20812564.0;20856982.0;48150;379;4243.1216;32275260.0;33213928.0;108;4
41;2732.9817;20769724.0;20813442.0;48150;379;4395.1313;32107166.0;33030302.0;108;4
42;2724.707;20677500.0;20721016.0;48150;379;4542.0913;32209556.0;33124722.0;108;4
43;2717.9143;20619074.0;20663668.0;48150;379;4652.7407;32354960.0;33265766.0;108;4
44;2714.7898;20573902.0;20617004.0;48150;379;4729.759;32373492.0;33286694.0;108;4
45;2702.6929;20457188.0;20498318.0;48150;379;4749.6567;32204656.0;33126862.0;108;4
46;2691.1062;20363232.0;20405246.0;48150;379;4711.3438;31809418.0;32745036.0;108;4
47;2676.5645;20224460.0;20265414.0;48150;379;4622.1562;31232522.0;32184772.0;108;4
48;2656.2424;20062202.0;20102448.0;48150;379;4489.475;30544886.0;31515570.0;108;4
49;2645.0808;19972972.0;20013112.0;48150;379;4330.621;29873102.0;30868040.0;108;4
