;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches;test_loss;test_mae;test_mean_squared_error;test_r2_score
0;3020.4404;24592512.0;24520170.0;48100;378;3332.0435;25958462.0;25838526.0;108;4;38446096.0;4127.0458984375;38446096.0;0.7647783756256104
1;2679.6846;19986422.0;20066162.0;48100;378;4294.938;30226528.0;30619004.0;108;4;32595520.0;4325.94482421875;32595520.0;0.7322428226470947
2;2875.1155;23066190.0;22831408.0;48100;378;5043.7617;39198210.0;39532990.0;108;4;26954120.0;4327.416015625;26954120.0;0.7776148319244385
3;2790.05;22149012.0;22174554.0;48150;378;4451.3457;32160826.0;31973756.0;108;4;27445106.0;4124.5986328125;27445106.0;0.7892626523971558
4;2591.6794;19932924.0;19982244.0;48150;379;4656.1997;39929440.0;39396856.0;108;4;29505148.0;3946.504638671875;29505148.0;0.7511952519416809
5;2789.933;22295928.0;22308928.0;48100;378;4039.0547;24047524.0;24076938.0;108;4;26107562.0;3935.827392578125;26107562.0;0.7952144742012024
6;2805.9495;22433954.0;22475632.0;48100;378;3908.5667;25805850.0;25919602.0;108;4;29557188.0;3876.6064453125;29557188.0;0.7459401488304138
7;2516.705;18497750.0;18570358.0;48100;378;3725.9626;26149424.0;26128232.0;108;4;39710944.0;4282.91796875;39710944.0;0.6930857300758362
8;2804.6594;22731710.0;22733544.0;48150;378;4805.074;34673064.0;34209892.0;108;4;22267432.0;3950.948974609375;22267432.0;0.7898891568183899
9;2826.5786;22595340.0;22696678.0;48150;379;4465.8906;29919444.0;29654230.0;108;4;25875128.0;4133.71533203125;25875128.0;0.8136969208717346
10;2674.21;21150962.0;21191584.0;48100;378;4256.676;28491356.0;28894322.0;108;4;28885450.0;3989.68701171875;28885450.0;0.7948178052902222
11;2872.386;23137052.0;23199698.0;48100;378;3519.373;17406428.0;17661536.0;108;4;26645760.0;3802.782958984375;26645760.0;0.8030181527137756
12;2729.5193;21697270.0;21770948.0;48100;378;4299.9614;28083624.0;28414094.0;108;4;28246578.0;4016.72021484375;28246578.0;0.7621448040008545
13;2760.1729;20941504.0;20965280.0;48150;378;4700.7373;40804736.0;40258330.0;108;4;28219606.0;4099.884765625;28219606.0;0.7562221884727478
14;2773.6814;22745094.0;22781120.0;48150;379;3951.2664;24604638.0;24555368.0;108;4;27740466.0;4043.4638671875;27740466.0;0.7806294560432434
15;2668.5352;20909032.0;20797930.0;48100;378;4530.9727;36573450.0;37173916.0;108;4;27672444.0;4138.3984375;27672444.0;0.7297841310501099
16;2730.501;21824614.0;21895804.0;48100;378;4138.1836;30059032.0;29861182.0;108;4;26025634.0;3782.04638671875;26025634.0;0.7219913601875305
17;2766.36;21510722.0;21593448.0;48100;378;4171.48;29776904.0;29597658.0;108;4;26612906.0;3892.0576171875;26612906.0;0.7705968618392944
18;2855.616;22873074.0;22859766.0;48150;378;3760.0308;23204856.0;23290942.0;108;4;25813310.0;3915.1337890625;25813310.0;0.8420808911323547
19;2645.0808;19972972.0;20013112.0;48150;379;4330.621;29873102.0;30868040.0;108;4;33536476.0;4308.166015625;33536476.0;0.7568378448486328
20;2817.182;22341416.0;22377462.0;48100;378;4138.6226;28656472.0;28995684.0;108;4;25737030.0;3959.797119140625;25737030.0;0.7961177229881287
21;2575.6565;19548742.0;19615548.0;48100;378;4031.25;23784402.0;24099882.0;108;4;33072170.0;4160.2265625;33072170.0;0.7418872117996216
22;2888.333;23512660.0;23594006.0;48100;378;4095.2861;23299414.0;23815228.0;108;4;27157166.0;4306.20361328125;27157166.0;0.7798747420310974
23;2707.7717;20607318.0;20623554.0;48150;378;4454.7134;35684480.0;35893840.0;108;4;27603358.0;4011.50048828125;27603358.0;0.7541968822479248
24;2842.2346;22758008.0;22810712.0;48150;379;3884.7913;26675100.0;26497130.0;108;4;28162266.0;4016.5341796875;28162266.0;0.8319225311279297
