;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
0;3020.4404;24592512.0;24520170.0;48100;378;3332.0435;25958462.0;25838526.0;108;4
1;2679.6846;19986422.0;20066162.0;48100;378;4294.938;30226528.0;30619004.0;108;4
2;2875.1155;23066190.0;22831408.0;48100;378;5043.7617;39198210.0;39532990.0;108;4
3;2790.05;22149012.0;22174554.0;48150;378;4451.3457;32160826.0;31973756.0;108;4
4;2591.6794;19932924.0;19982244.0;48150;379;4656.1997;39929440.0;39396856.0;108;4
5;2789.933;22295928.0;22308928.0;48100;378;4039.0547;24047524.0;24076938.0;108;4
6;2805.9495;22433954.0;22475632.0;48100;378;3908.5667;25805850.0;25919602.0;108;4
7;2516.705;18497750.0;18570358.0;48100;378;3725.9626;26149424.0;26128232.0;108;4
8;2804.6594;22731710.0;22733544.0;48150;378;4805.074;34673064.0;34209892.0;108;4
9;2826.5786;22595340.0;22696678.0;48150;379;4465.8906;29919444.0;29654230.0;108;4
10;2674.21;21150962.0;21191584.0;48100;378;4256.676;28491356.0;28894322.0;108;4
11;2872.386;23137052.0;23199698.0;48100;378;3519.373;17406428.0;17661536.0;108;4
12;2729.5193;21697270.0;21770948.0;48100;378;4299.9614;28083624.0;28414094.0;108;4
13;2760.1729;20941504.0;20965280.0;48150;378;4700.7373;40804736.0;40258330.0;108;4
14;2773.6814;22745094.0;22781120.0;48150;379;3951.2664;24604638.0;24555368.0;108;4
15;2668.5352;20909032.0;20797930.0;48100;378;4530.9727;36573450.0;37173916.0;108;4
16;2730.501;21824614.0;21895804.0;48100;378;4138.1836;30059032.0;29861182.0;108;4
17;2766.36;21510722.0;21593448.0;48100;378;4171.48;29776904.0;29597658.0;108;4
18;2855.616;22873074.0;22859766.0;48150;378;3760.0308;23204856.0;23290942.0;108;4
19;2645.0808;19972972.0;20013112.0;48150;379;4330.621;29873102.0;30868040.0;108;4
20;2817.182;22341416.0;22377462.0;48100;378;4138.6226;28656472.0;28995684.0;108;4
21;2575.6565;19548742.0;19615548.0;48100;378;4031.25;23784402.0;24099882.0;108;4
22;2888.333;23512660.0;23594006.0;48100;378;4095.2861;23299414.0;23815228.0;108;4
23;2707.7717;20607318.0;20623554.0;48150;378;4454.7134;35684480.0;35893840.0;108;4
24;2842.2346;22758008.0;22810712.0;48150;379;3884.7913;26675100.0;26497130.0;108;4
