epoch;loss;mae;mean_squared_error;r2_score;val_loss;val_mae;val_mean_squared_error;val_r2_score
0;264467504.0;11571.5966796875;264467504.0;-0.7554717063903809;149725648.0;11105.939453125;149725648.0;0.06810544431209564
1;100323720.0;7308.63671875;100323720.0;0.30647948384284973;68202056.0;7496.359375;68202056.0;0.5745822191238403
2;54271204.0;5672.3642578125;54271204.0;0.6044132113456726;51174984.0;4404.6435546875;51174984.0;0.6804405450820923
3;53671904.0;4514.91845703125;53671904.0;0.6112685799598694;44918120.0;4281.78369140625;44918120.0;0.7195285558700562
4;42997476.0;4413.34033203125;42997476.0;0.6978897452354431;50440996.0;4395.6455078125;50440996.0;0.6853750944137573
5;41485220.0;4670.53369140625;41485220.0;0.7138129472732544;49435152.0;4341.27294921875;49435152.0;0.6916481852531433
6;38773724.0;4025.771728515625;38773724.0;0.7311151623725891;41644956.0;4407.48583984375;41644956.0;0.740147590637207
7;36511056.0;3799.665771484375;36511056.0;0.7411054968833923;40965820.0;4312.96240234375;40965820.0;0.7444323301315308
8;36047208.0;3923.708251953125;36047208.0;0.7397581338882446;40707696.0;4249.4814453125;40707696.0;0.7461101412773132
9;35300696.0;3847.39306640625;35300696.0;0.7535207867622375;39962224.0;4405.79150390625;39962224.0;0.7506822347640991
10;35702280.0;3908.921142578125;35702280.0;0.7419438362121582;39573724.0;4344.6181640625;39573724.0;0.7531542181968689
11;35769980.0;3976.36572265625;35769980.0;0.7423548102378845;43985772.0;4143.14306640625;43985772.0;0.7258687019348145
12;34841324.0;3938.737548828125;34841324.0;0.7535993456840515;39897340.0;4126.16845703125;39897340.0;0.7512499094009399
13;33458128.0;3695.535400390625;33458128.0;0.7643521428108215;38694328.0;4304.92822265625;38694328.0;0.7585628032684326
14;33659104.0;3842.648681640625;33659104.0;0.7646940350532532;38769900.0;4107.5439453125;38769900.0;0.7582483291625977
15;32433676.0;3804.361328125;32433676.0;0.7703050374984741;39466524.0;4010.337646484375;39466520.0;0.753935694694519
16;32564902.0;3712.41796875;32564902.0;0.7740529775619507;36832992.0;4038.4912109375;36832992.0;0.7702943086624146
17;31653256.0;3569.952392578125;31653256.0;0.769736111164093;37028484.0;4204.916015625;37028484.0;0.7689345479011536
18;31348448.0;3625.271240234375;31348448.0;0.7762179970741272;37192744.0;3941.25927734375;37192744.0;0.7680224180221558
19;30108272.0;3638.498046875;30108272.0;0.7898203730583191;39806204.0;3866.994140625;39806204.0;0.751723051071167
20;30448410.0;3478.432861328125;30448410.0;0.7838752865791321;34029296.0;3791.617431640625;34029296.0;0.7877036333084106
