;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
0;9282.753;171879500.0;172991020.0;20025;158;12659.901;323395620.0;327698020.0;91;4
1;8777.975;151856080.0;152908600.0;20025;158;12657.215;323317200.0;327619330.0;91;4
2;8469.147;140812560.0;141810450.0;20025;158;12643.104;322891800.0;327191550.0;91;4
3;8197.982;131705980.0;132642504.0;20025;158;12602.272;321660260.0;325952960.0;91;4
4;7936.913;123232130.0;124105464.0;20025;158;12516.354;319068320.0;323346270.0;91;4
5;7667.7383;114805810.0;115616430.0;20025;158;12367.098;314579620.0;318832540.0;91;4
6;7405.458;106943096.0;107687980.0;20025;158;12138.175;307750050.0;311965900.0;91;4
7;7139.476;99306810.0;99984880.0;20025;158;11816.38;298268830.0;302434020.0;91;4
8;6880.1646;92082560.0;92692420.0;20025;158;11393.231;286020640.0;290120700.0;91;4
9;6621.926;85275940.0;85816610.0;20025;158;10876.545;271109760.0;275129280.0;91;4
10;6356.953;78792200.0;79269150.0;20025;158;10272.8125;253876160.0;257799230.0;91;4
11;6083.8057;72556840.0;72975690.0;20025;158;9600.724;234833500.0;238643630.0;91;4
12;5813.23;66716140.0;67080270.0;20025;158;8909.069;214576530.0;218255790.0;91;4
13;5550.701;61390990.0;61701628.0;20025;158;8238.897;193694820.0;197223000.0;91;4
14;5294.006;56471228.0;56727936.0;20025;158;7606.6475;172721150.0;176075500.0;91;4
15;5047.2866;51995104.0;52199770.0;20025;158;7006.958;152151020.0;155306300.0;91;4
16;4825.962;48117630.0;48276692.0;20025;158;6534.3604;132434610.0;135365340.0;91;4
17;4638.886;44716052.0;44842530.0;20025;158;6118.8438;113984050.0;116667840.0;91;4
18;4475.8584;42065468.0;42186132.0;20025;158;5807.5454;97335390.0;99756856.0;91;4
19;4300.723;39479844.0;39576344.0;20025;158;5629.7915;83010510.0;85163704.0;91;4
20;4187.7134;37918080.0;37999956.0;20025;158;5570.7754;71264500.0;73151990.0;91;4
21;4004.0269;35224336.0;35281130.0;20025;158;5678.629;62176800.0;63809176.0;91;4
22;4076.981;36623396.0;36693212.0;20025;158;5835.81;55643180.0;57037350.0;91;4
23;4015.0483;35655876.0;35721964.0;20025;158;5917.7446;51609200.0;52793812.0;91;4
24;4000.616;35507596.0;35573180.0;20025;158;5922.197;49728260.0;50736084.0;91;4
